Size,Type,BubbleSortTime,MergeSortTime,QuickSortTime
100,random,0.07458,0.15806,0.03094
100,sorted,0.04564,0.2077,0.00648
100,partially_sorted,0.05992,0.16898,0.01162
100,reverse_sorted,0.10056,0.18582,0.07132
500,random,2.53658,0.92354,0.1575
500,sorted,1.0279,0.8784,2.06786
500,partially_sorted,1.36832,0.862,0.25876
500,reverse_sorted,2.2591,0.86878,1.43178
1000,random,7.79194,1.65086,0.26688
1000,sorted,3.65726,1.72476,7.01292
1000,partially_sorted,5.02806,1.63726,0.36602
1000,reverse_sorted,8.89092,1.56614,4.8432
