Size,Type,BubbleSortTime,MergeSortTime,QuickSortTime,Status
100,random,0.00812,0.01874,0.00154,Success
100,sorted,0.00458,0.02058,0.0037,Success
100,partially_sorted,0.00514,0.01392,0.00166,Success
100,reverse_sorted,0.00526,0.01244,0.00568,Success
110,random,0.00826,0.01678,0.0011,Success
110,sorted,0.00706,0.01728,0.0039,Success
110,partially_sorted,0.00642,0.01888,0.00148,Success
110,reverse_sorted,0.0082,0.02316,0.0107,Success
120,random,0.01336,0.02512,0.00198,Success
120,sorted,0.00532,0.02314,0.0046,Success
120,partially_sorted,0.00706,0.01724,0.00636,Success
120,reverse_sorted,0.00822,0.0159,0.00618,Success
130,random,0.01558,0.0192,0.00172,Success
130,sorted,0.00516,0.03848,0.00498,Success
130,partially_sorted,0.01324,0.01884,0.00552,Success
130,reverse_sorted,0.00908,0.0175,0.00662,Success
140,random,0.01512,0.02446,0.00236,Success
140,sorted,0.0059,0.01844,0.00616,Success
140,partially_sorted,0.01012,0.01886,0.00138,Success
140,reverse_sorted,0.01066,0.01812,0.00742,Success
150,random,0.01452,0.02088,0.00142,Success
150,sorted,0.00668,0.01906,0.00684,Success
150,partially_sorted,0.01048,0.02032,0.00206,Success
150,reverse_sorted,0.01226,0.01932,0.0088,Success
160,random,0.0174,0.02244,0.00172,Success
160,sorted,0.00756,0.02124,0.00798,Success
160,partially_sorted,0.01356,0.0231,0.0027,Success
160,reverse_sorted,0.01416,0.0216,0.00982,Success
170,random,0.0205,0.02538,0.00222,Success
170,sorted,0.00844,0.02266,0.0092,Success
170,partially_sorted,0.0142,0.02316,0.00226,Success
170,reverse_sorted,0.016,0.02244,0.01066,Success
180,random,0.02168,0.02644,0.0026,Success
180,sorted,0.01046,0.03034,0.0112,Success
180,partially_sorted,0.02026,0.03776,0.00262,Success
180,reverse_sorted,0.0203,0.02894,0.0155,Success
190,random,0.0312,0.05034,0.0042,Success
190,sorted,0.0148,0.0421,0.05612,Success
190,partially_sorted,0.02186,0.03906,0.00322,Success
190,reverse_sorted,0.02356,0.0359,0.01748,Success
200,random,0.02662,0.03086,0.00346,Success
200,sorted,0.01326,0.03452,0.01416,Success
200,partially_sorted,0.03928,0.04742,0.00618,Success
200,reverse_sorted,0.02844,0.04614,0.0222,Success
210,random,0.0375,0.05494,0.00388,Success
210,sorted,0.01916,0.04842,0.02372,Success
210,partially_sorted,0.02604,0.04524,0.00252,Success
210,reverse_sorted,0.02926,0.03834,0.0208,Success
220,random,0.04168,0.05446,0.00486,Success
220,sorted,0.01364,0.02836,0.01598,Success
220,partially_sorted,0.02174,0.02974,0.00236,Success
220,reverse_sorted,0.02874,0.02976,0.01902,Success
230,random,0.03452,0.034,0.00308,Success
230,sorted,0.01506,0.02982,0.01716,Success
230,partially_sorted,0.02386,0.0326,0.00348,Success
230,reverse_sorted,0.03022,0.0291,0.02072,Success
240,random,0.0415,0.0356,0.00332,Success
240,sorted,0.01588,0.0301,0.01862,Success
240,partially_sorted,0.02344,0.03278,0.00546,Success
240,reverse_sorted,0.03306,0.03028,0.02066,Success
250,random,0.03922,0.0382,0.00346,Success
250,sorted,0.01724,0.03054,0.02028,Success
250,partially_sorted,0.02896,0.04026,0.00704,Success
250,reverse_sorted,0.03606,0.0318,0.02116,Success
260,random,0.04242,0.03866,0.00364,Success
260,sorted,0.01848,0.03374,0.02196,Success
260,partially_sorted,0.02888,0.03534,0.00422,Success
260,reverse_sorted,0.03894,0.03252,0.023,Success
270,random,0.04426,0.0426,0.00392,Success
270,sorted,0.02072,0.03482,0.02376,Success
270,partially_sorted,0.03218,0.03596,0.00402,Success
270,reverse_sorted,0.042,0.03322,0.0268,Success
280,random,0.05388,0.04086,0.00382,Success
280,sorted,0.02166,0.03614,0.0259,Success
280,partially_sorted,0.03472,0.0373,0.00374,Success
280,reverse_sorted,0.0456,0.03588,0.02832,Success
290,random,0.05432,0.04404,0.00516,Success
290,sorted,0.02284,0.03622,0.02766,Success
290,partially_sorted,0.03656,0.03856,0.00352,Success
290,reverse_sorted,0.04924,0.03736,0.02828,Success
300,random,0.05596,0.04322,0.00436,Success
300,sorted,0.02436,0.038,0.02958,Success
300,partially_sorted,0.03858,0.04062,0.00514,Success
300,reverse_sorted,0.05288,0.03744,0.03138,Success
310,random,0.06086,0.04608,0.00572,Success
310,sorted,0.0258,0.03776,0.03158,Success
310,partially_sorted,0.04888,0.04318,0.0051,Success
310,reverse_sorted,0.05634,0.03884,0.03266,Success
320,random,0.06458,0.04712,0.00542,Success
320,sorted,0.02752,0.04044,0.03328,Success
320,partially_sorted,0.04208,0.04276,0.00516,Success
320,reverse_sorted,0.06156,0.04078,0.03346,Success
330,random,0.06664,0.04942,0.00578,Success
330,sorted,0.02922,0.04146,0.03538,Success
330,partially_sorted,0.04738,0.0488,0.00442,Success
330,reverse_sorted,0.06444,0.04114,0.03608,Success
340,random,0.07626,0.06128,0.00648,Success
340,sorted,0.03096,0.04274,0.03758,Success
340,partially_sorted,0.05206,0.04692,0.0078,Success
340,reverse_sorted,0.06818,0.04316,0.03826,Success
350,random,0.0769,0.05512,0.00702,Success
350,sorted,0.03266,0.0522,0.04142,Success
350,partially_sorted,0.05176,0.04812,0.00444,Success
350,reverse_sorted,0.07288,0.04456,0.043,Success
360,random,0.08414,0.0594,0.00664,Success
360,sorted,0.03456,0.05666,0.04542,Success
360,partially_sorted,0.05192,0.04696,0.00294,Success
360,reverse_sorted,0.07748,0.04598,0.04642,Success
370,random,0.0843,0.05988,0.0073,Success
370,sorted,0.03644,0.04604,0.04444,Success
370,partially_sorted,0.05696,0.04922,0.00484,Success
370,reverse_sorted,0.08046,0.04502,0.05176,Success
380,random,0.0891,0.06048,0.00682,Success
380,sorted,0.04258,0.05526,0.05172,Success
380,partially_sorted,0.0744,0.05666,0.00446,Success
380,reverse_sorted,0.08854,0.05372,0.04942,Success
390,random,0.0983,0.06718,0.00768,Success
390,sorted,0.04026,0.0489,0.05074,Success
390,partially_sorted,0.067,0.05244,0.00904,Success
390,reverse_sorted,0.09738,0.05626,0.05022,Success
400,random,0.102,0.06482,0.00862,Success
400,sorted,0.04858,0.05704,0.05546,Success
400,partially_sorted,0.06514,0.05178,0.0088,Success
400,reverse_sorted,0.1028,0.05818,0.05822,Success
410,random,0.11066,0.07096,0.01296,Success
410,sorted,0.04436,0.05078,0.05558,Success
410,partially_sorted,0.08088,0.06086,0.0073,Success
410,reverse_sorted,0.10024,0.05356,0.05324,Success
420,random,0.1138,0.06914,0.00758,Success
420,sorted,0.0538,0.05184,0.05822,Success
420,partially_sorted,0.07554,0.05648,0.0061,Success
420,reverse_sorted,0.10576,0.0517,0.05552,Success
430,random,0.11188,0.06588,0.01344,Success
430,sorted,0.04974,0.05472,0.0622,Success
430,partially_sorted,0.07574,0.05752,0.00698,Success
430,reverse_sorted,0.11222,0.05518,0.05896,Success
440,random,0.1207,0.06678,0.00784,Success
440,sorted,0.05654,0.06052,0.0667,Success
440,partially_sorted,0.0872,0.06494,0.00782,Success
440,reverse_sorted,0.11586,0.05508,0.06926,Success
450,random,0.12656,0.08976,0.00858,Success
450,sorted,0.05874,0.06292,0.07088,Success
450,partially_sorted,0.12422,0.06212,0.01052,Success
450,reverse_sorted,0.12146,0.05516,0.08404,Success
460,random,0.1299,0.07122,0.01282,Success
460,sorted,0.0643,0.06448,0.07236,Success
460,partially_sorted,0.0889,0.06502,0.00938,Success
460,reverse_sorted,0.13862,0.07412,0.08578,Success
470,random,0.14228,0.08188,0.01002,Success
470,sorted,0.0614,0.05732,0.07198,Success
470,partially_sorted,0.10362,0.06774,0.0096,Success
