Size,Type,BubbleSortTime,MergeSortTime,QuickSortTime,Status
100,random,0.00978,0.06294,0.00224,Success
100,sorted,0.00402,0.06262,0.00302,Success
100,partially_sorted,0.0064,0.06478,0.00146,Success
100,reverse_sorted,0.00664,0.06164,0.00662,Success
110,random,0.0119,0.08096,0.0016,Success
110,sorted,0.00418,0.06774,0.00428,Success
110,partially_sorted,0.00696,0.06792,0.00216,Success
110,reverse_sorted,0.00738,0.0671,0.01046,Success
120,random,0.01262,0.07666,0.0022,Success
120,sorted,0.00598,0.08024,0.00626,Success
120,partially_sorted,0.00974,0.07018,0.00272,Success
120,reverse_sorted,0.00798,0.06526,0.00776,Success
130,random,0.01664,0.08238,0.00282,Success
130,sorted,0.00604,0.07512,0.0062,Success
130,partially_sorted,0.00816,0.0717,0.00172,Success
130,reverse_sorted,0.0104,0.08968,0.012,Success
140,random,0.01582,0.07558,0.00166,Success
140,sorted,0.006,0.07036,0.00634,Success
140,partially_sorted,0.01038,0.07042,0.00148,Success
140,reverse_sorted,0.01154,0.07042,0.01152,Success
150,random,0.01886,0.09276,0.00306,Success
150,sorted,0.00718,0.07994,0.00872,Success
150,partially_sorted,0.01184,0.08552,0.00306,Success
150,reverse_sorted,0.0137,0.08654,0.0129,Success
160,random,0.02136,0.09296,0.00226,Success
160,sorted,0.0079,0.08728,0.00838,Success
160,partially_sorted,0.01448,0.09108,0.0023,Success
160,reverse_sorted,0.01584,0.08748,0.01446,Success
170,random,0.01966,0.0886,0.00264,Success
170,sorted,0.0086,0.08974,0.00942,Success
170,partially_sorted,0.01444,0.09774,0.00228,Success
170,reverse_sorted,0.01722,0.09512,0.01646,Success
180,random,0.02452,0.10308,0.0025,Success
180,sorted,0.00958,0.0991,0.01126,Success
180,partially_sorted,0.0174,0.09952,0.00228,Success
180,reverse_sorted,0.02136,0.10808,0.01456,Success
190,random,0.0278,0.10392,0.00294,Success
190,sorted,0.01142,0.1018,0.01192,Success
190,partially_sorted,0.01614,0.1058,0.00602,Success
190,reverse_sorted,0.02182,0.10956,0.01668,Success
200,random,0.03196,0.12032,0.0038,Success
200,sorted,0.01292,0.13664,0.01458,Success
200,partially_sorted,0.01854,0.11064,0.0043,Success
200,reverse_sorted,0.02312,0.10684,0.01706,Success
210,random,0.02902,0.11484,0.00272,Success
210,sorted,0.01366,0.11896,0.01552,Success
210,partially_sorted,0.02104,0.1149,0.00624,Success
210,reverse_sorted,0.02614,0.12006,0.02042,Success
220,random,0.0393,0.13152,0.0032,Success
220,sorted,0.01532,0.11794,0.01756,Success
220,partially_sorted,0.02302,0.1235,0.00294,Success
220,reverse_sorted,0.02848,0.1186,0.02392,Success
230,random,0.03488,0.12774,0.00292,Success
230,sorted,0.0158,0.12222,0.01818,Success
